participant_id,condition_code,condition_label,explanation_condition,intervention_authority,age,gender,valid_driving_license,prior_adas_use,baseline_trust_automation,driving_confidence,perceived_transparency,perceived_control,autonomy_threat,privacy_concern,perceived_care,workload,trust_calibration_index,overall_acceptance_rate
P001,NE_AUTO,No explanation + automatic intervention,no_explanation,automatic,24,male_or_other,1,0,3.61,4.19,3.04,1.94,3.22,3.17,3.06,2.72,0.31,0.63
P002,NE_AUTO,No explanation + automatic intervention,no_explanation,automatic,41,male_or_other,1,1,4.39,4.23,2.91,3.96,3.84,3.69,3.61,3.2,0.32,0.75
P003,NE_AUTO,No explanation + automatic intervention,no_explanation,automatic,39,female,1,1,2.87,3.57,2.6,4.35,3.56,1.93,3.26,3.59,0.19,0.59
P004,NE_AUTO,No explanation + automatic intervention,no_explanation,automatic,27,female,1,1,3.05,1.77,1.38,2.3,2.03,3.4,2.56,3.43,0.11,0.58
P005,NE_AUTO,No explanation + automatic intervention,no_explanation,automatic,24,male_or_other,1,1,3.86,3.09,2.81,4.23,4.27,3.36,2.59,4.47,0.14,0.62
P006,NE_AUTO,No explanation + automatic intervention,no_explanation,automatic,32,female,1,1,2.24,2.65,3.05,2.37,2.42,1.75,3.39,2.69,0.16,0.68
P007,NE_AUTO,No explanation + automatic intervention,no_explanation,automatic,32,female,1,1,3.28,4.1,2.09,4.0,3.03,2.58,4.19,3.72,0.28,0.63
P008,NE_AUTO,No explanation + automatic intervention,no_explanation,automatic,21,male_or_other,1,0,3.01,3.65,2.1,2.9,3.97,2.69,4.27,2.98,0.18,0.59
P009,NE_AUTO,No explanation + automatic intervention,no_explanation,automatic,31,male_or_other,1,1,2.19,2.66,2.97,2.86,5.0,2.61,3.02,2.2,0.28,0.71
P010,NE_AUTO,No explanation + automatic intervention,no_explanation,automatic,30,male_or_other,1,0,3.44,2.63,1.69,3.12,2.94,1.62,2.68,4.02,0.16,0.65
P011,NE_AUTO,No explanation + automatic intervention,no_explanation,automatic,34,male_or_other,1,0,3.45,3.48,2.64,3.51,3.36,3.42,2.98,3.25,0.28,0.63
P012,NE_AUTO,No explanation + automatic intervention,no_explanation,automatic,24,female,1,1,4.37,3.53,2.12,3.75,3.01,1.33,3.95,4.06,0.27,0.56
P013,NE_AUTO,No explanation + automatic intervention,no_explanation,automatic,30,male_or_other,1,1,3.32,3.9,2.98,2.99,3.48,1.44,2.88,3.33,0.12,0.59
P014,NE_AUTO,No explanation + automatic intervention,no_explanation,automatic,24,male_or_other,1,1,4.51,4.99,3.66,2.85,3.93,1.64,1.91,3.52,0.27,0.68
P015,NE_AUTO,No explanation + automatic intervention,no_explanation,automatic,24,female,1,0,3.58,4.32,2.15,4.58,2.73,1.95,3.98,3.58,0.07,0.64
P016,NE_AUTO,No explanation + automatic intervention,no_explanation,automatic,37,male_or_other,1,0,2.99,3.5,2.38,4.36,3.45,3.16,4.02,2.67,0.18,0.7
