trial_id,participant_id,condition_code,explanation_condition,intervention_authority,scenario_block,block_trial,ai_inferred_state,ai_correct,accepted_intervention,verified_before_response,response,response_time_ms,lane_deviation_m,speed_variability_kmh,confidence_displayed,data_type
T0001,P001,NE_AUTO,no_explanation,automatic,fatigue,1,fatigue,1,1,0,allow_to_continue,748,0.222,2.11,,synthetic_example
T0002,P001,NE_AUTO,no_explanation,automatic,fatigue,2,fatigue,1,1,0,allow_to_continue,758,0.249,5.38,,synthetic_example
T0003,P001,NE_AUTO,no_explanation,automatic,fatigue,3,stress,0,0,0,override,1131,0.262,4.53,,synthetic_example
T0004,P001,NE_AUTO,no_explanation,automatic,fatigue,4,stress,0,1,0,allow_to_continue,1455,0.295,4.81,,synthetic_example
T0005,P001,NE_AUTO,no_explanation,automatic,fatigue,5,stress,0,1,0,allow_to_continue,1328,0.213,5.24,,synthetic_example
T0006,P001,NE_AUTO,no_explanation,automatic,fatigue,6,fatigue,1,1,0,allow_to_continue,974,0.12,2.75,,synthetic_example
T0007,P001,NE_AUTO,no_explanation,automatic,stress,1,fatigue,0,1,0,allow_to_continue,1560,0.35,6.57,,synthetic_example
T0008,P001,NE_AUTO,no_explanation,automatic,stress,2,fatigue,0,1,0,allow_to_continue,1266,0.359,7.24,,synthetic_example
T0009,P001,NE_AUTO,no_explanation,automatic,stress,3,stress,1,1,1,allow_to_continue,1726,0.305,6.02,,synthetic_example
T0010,P001,NE_AUTO,no_explanation,automatic,stress,4,stress,1,1,0,allow_to_continue,1261,0.333,6.32,,synthetic_example
T0011,P001,NE_AUTO,no_explanation,automatic,stress,5,stress,1,0,0,override,1758,0.31,5.46,,synthetic_example
T0012,P001,NE_AUTO,no_explanation,automatic,stress,6,fatigue,0,1,0,allow_to_continue,1535,0.195,6.27,,synthetic_example
T0013,P002,NE_AUTO,no_explanation,automatic,fatigue,1,fatigue,1,1,0,allow_to_continue,1631,0.239,5.13,,synthetic_example
T0014,P002,NE_AUTO,no_explanation,automatic,fatigue,2,fatigue,1,1,1,allow_to_continue,1525,0.364,6.63,,synthetic_example
T0015,P002,NE_AUTO,no_explanation,automatic,fatigue,3,stress,0,1,0,allow_to_continue,1218,0.276,2.39,,synthetic_example
